date,regdate,game,home,away
2026-09-17,2026-09-17 18:30:00,NC vs SSG,NC,SSG
2026-09-17,2026-09-17 18:30:00,KIA vs 키움,KIA,키움
2026-09-18,2026-09-18 18:30:00,KT vs LG,KT,LG
2026-09-18,2026-09-18 18:30:00,롯데 vs NC,롯데,NC
2026-09-18,2026-09-18 18:30:00,한화 vs 삼성,한화,삼성
2026-09-18,2026-09-18 18:30:00,두산 vs 키움,두산,키움
2026-09-19,2026-09-19 17:00:00,LG vs 한화,LG,한화
2026-09-19,2026-09-19 17:00:00,NC vs KIA,NC,KIA
2026-09-19,2026-09-19 17:00:00,KT vs 두산,KT,두산
2026-09-19,2026-09-19 17:00:00,롯데 vs 삼성,롯데,삼성
